Study#,SL,Title,Year,Limitations & Future Works
S11,11,From bad to good: an investigation of question quality and transformation,2013,"Limitations [“However, the generalizability of our findings is limited by sample size (n=129),” noting that the small sample restricts the extent to which results can be generalized (Section Discussion, p. 4); The authors reiterate that “the small size of this sample does not allow for generalizability of these results,” explicitly acknowledging dataset size as a limitation (Section Conclusion, p. 4)];
Future Work [The authors state that “future work should be performed on larger data sets in order to determine whether these findings are consistent,” emphasizing the need for validation at scale (Section Discussion, p. 4); They further note that “the framework for assessment established within this study can be lent to future work,” implying extension toward automated systems that flag poor-quality questions and suggest improvements (Section Conclusion, p. 4)];"
S12,12,Discovering high quality answers in community question answering archives using a hierarchy of classifiers,2014,"Limitations [N/A];
Future Work [“For future work, we plan to extend our framework to other types of user-generated-content, such as microblog, tweets, and forum postings,” and the authors conjecture that with the type-dependent classification design, the proposed framework and intrinsic text features “should be able to capture the quality-related information of various types of contents more completely and accurately” (Section 5 Conclusion and future work, p. 113)];"
S13,13,"""A Bit of Code"": How the Stack Overflow Community Creates Quality Postings",2014,"Limitations [The authors explicitly summarize limitations in Section 6 (Limitations of the work), including: the age of the dataset, as it is “a snapshot created in August 2012,” and analyses should be updated using more recent data and changes over time (Section 6.1, p. 1433); unused attributes in the dataset, such as tags, user-specific variation, demographic information, edit counts, and comments, which were not analyzed (Section 6.1, p. 1433); scalability and performance issues, as querying across very large tables is slow and would worsen if more snapshots or attributes were added (Section 6.1, p. 1433); accuracy limitations of the code-text-ratio algorithms, since some source code may not be properly marked with <code> tags, leading to misclassification of code as text or vice versa (Section 6.2, p. 1433); limitations of the FKRE readability scoring, due to mis-identification of sentences, words, syllables, URLs, error messages, CamelCase terms, and unmarked code fragments (Section 6.3, p. 1433); and limitations of sentiment scoring, including use of a non-domain-specific sentiment lexicon and misclassification of software-engineering terms (Section 6.4, p. 1433)];

Future Work [The authors explicitly suggest future work such as updating the analyses with more recent Stack Overflow datasets and studying changes over time (Section 6.1, p. 1433); examining additional dataset attributes, including tags, user variation, reputation, demographics, edit histories, and comments (Section 6.1, p. 1433); improving scalability and performance, potentially by using document-oriented databases or search-engine technologies (Section 6.1, p. 1433); improving code-text separation, readability, and sentiment analysis techniques, including better handling of URLs, error messages, domain-specific vocabulary, and unmarked code (Sections 6.2–6.4, p. 1433); and extending insights to other highly-technical communities and technical documentation contexts, as suggested in the conclusion (Section 7 Conclusion, p. 1434)];"
S14,14,Understanding and Classifying the Quality of Technical Forum Questions,2014,"Limitations [N/A];
Future Work [N/A];"
S15,15,Chaff from the wheat : Characterization and modeling of deleted questions on Stack Overflow,2014,"Limitations [N/A];
Future Work [N/A];"
S16,16,Questioning the Question -- Addressing the Answerability of Questions in Community Question-Answering,2014,"Limitations [“Our findings are not without limitations. The first limitation is the small sample size (N=5,000) with subsets n1=2,000 for Part I, and n2&3=3,000 for Parts II & III,” which is smaller than other datasets due to reliance on human evaluators (Section 6.1 Limitations, p. 1392); “The second limitation is that we chose not to incorporate non-textual features (e.g., time question was posted, asker profile information, etc.) into our model,” even though such features have been shown to influence question quality (Section 6.1 Limitations, p. 1392)];
Future Work [The authors state that “future work can attempt to improve on this performance, using the two-step model we have developed within this paper,” referring to pushing the ROC curve and improving accuracy and validity (Section 6.1 Limitations, p. 1392); They note that “future work may include these [non-textual] features in order to evaluate the performance of predicting question quality” (Section 6.1 Limitations, p. 1392); They further state an intention to conduct “further study in attempts to add a stage to the model that would further subdivide bad questions by predominant reasons for failure,” such as too complex or asking multiple questions (Section 6.2 Findings and implications, p. 1393); The conclusion highlights “future research, including research to further improve its performance, as well as to assess its contribution in providing assistance to askers in formulating a better quality question to receive a better quality answer” (Section 7 Conclusion, p. 1394)];"
S17,17,An Insight into the Unresolved Questions at Stack Overflow,2015,"Limitations [“Although the dataset size is relatively small, it is carefully developed based on certain restrictions, and thus represents a larger collection,” explicitly acknowledging the relatively small dataset size as a limitation (Section V Discussion & Conclusion, p. 429)];
Future Work [N/A];"
S18,18,Evaluating Answer Quality across Knowledge Domains: Using Textual and Non-Textual Features in Social Q&A,2015,"Limitations [“This study has a few limitations in that StackExchange is one of the social Q&A sites; it may not represent all other social Q&A sites,” and “the four sites that have been randomly selected may not represent all other sites of each knowledge domain,” explicitly acknowledging platform representativeness and domain coverage limitations (Section Implications and Conclusion, p. 4)];
Future Work [“Future research can validate or expand this model by testing it in social Q&A sites from other knowledge domains,” explicitly suggesting cross-domain validation and extension of the model (Section Implications and Conclusion, p. 4)];"
S19,19,Mining Successful Answers in Stack Overflow,2015,"Limitations [The authors state that “while being preliminary, these findings inspire directions for future work,” explicitly characterizing the results as preliminary, implying limitations in maturity and completeness of the study (Section V Conclusions, p. 5); They further acknowledge that “due to the presence of domain-specific lexicon, examples of false positives in negative sentiment detection emerge,” noting that sentiment analysis tools are domain-dependent and may produce unreliable results when applied outside their tested domain (Section IV Results, p. 5)];

Future Work [“First, the wide variety of affective states expressed in comments recommends a more fine-grained investigation of the role of emotions in SO since different affective states might be relevant to different contexts and tasks” (Section V Conclusions, p. 5); “Besides, it would be interesting to investigate to what extent emotions and personality traits shown in questions influence the answering behavior” (Section V Conclusions, p. 5); “Finally, we underline the need for tuning state-of-the-art resources for sentiment detection by adapting them to domain-dependent use of lexicon” (Section V Conclusions, p. 5)];"
S20,20,Automatic assessments of code explanations: Predicting answering times on stack overflow,2015,"Limitations [N/A];
Future Work [“There is still opportunity for investigation of the applicability, adaptability and deployment of the method of this paper,” indicating the need to study practical deployment of the proposed guideline (Section VI Future Work, p. 444); “The first promising area of research would be to test the L-ROUGE algorithm on languages other than Java,” since the current study mainly focuses on Java and language contamination effects are not fully understood (Section VI Future Work, p. 444); “The second area of research one could expand upon is the correlation algorithm,” as L-ROUGE is not the only algorithm that correlates well with human scores (Section VI Future Work, p. 444); “Lastly, the actual deployment of the guideline as given by this paper should be investigated,” noting that other factors may influence answering time and false negatives could lead to negative effects (Section VI Future Work, p. 444)];"
S21,21,Quality Questions Need Quality Code: Classifying Code Fragments on Stack Overflow,2015,"Limitations [“There are some threats that endanger the validity of our results,” including that question score may not represent exact quality due to reputation gaming, that many questions have a score equal to zero and thus unknown quality, that the analysis depends on askers properly marking code snippets with the <code> tag, and that non-code text (e.g., stack traces) marked as code was not excluded, which “could influence the effect of some metrics” (Section V Discussion, p. 4); The authors also note that for the edit-based quality criteria, they “were not able to uncover the original code fragment” and thus metrics are based on the latest edited version of the question (Section V Discussion, p. 4); Additionally, the study is limited to Java questions, and “an analysis of questions concerning other programming languages might need a different set of metrics” (Section V Discussion, p. 4)];"
S22,22,"Utilizing Content Moderators to Investigate Critical Factors for Assessing the Quality of Answers on Brainly, Social Learning Q&A Platform for Students: A Pilot Study",2015,"Limitations [The authors explicitly characterize the study as a pilot study, noting that it involved “a total of 25 Brainly moderators in a US market,” which limits the sample size and representativeness of the findings (Conclusion, p. 4)];
Future Work [The authors state that the study “will attempt to scale up the study to a larger sample of Brainly content moderators from different markets (e.g., Russia, France, Indonesia, etc.),” to validate and generalize the findings, to investigate cultural and market differences in applying quality criteria, and to gain more insights into new criteria moderators may use when assessing answer quality (Conclusion, p. 4)];"
S23,23,Predicting the quality of questions on Stackoverflow,2015,"Limitations [N/A];
Future Work [The authors state that “the terms were analyzed manually, based on human judgment,” noting that this process is “rather subjective” and suggesting that “an automated way to analyze the extracted terms would be an improvement” (Section 5 Future Research, p. 39); They further propose that “another matter for a future work is to include the part-of-speech tagging in the predicting models and to use the parts of speech as features to improve the predictive power of the models” (Section 5 Future Research, p. 39)];"
S24,24,Answers or no answers: Studying question answerability in Stack Overflow,2015,"Limitations [The authors explicitly state that “this paper investigated the Quest-for-Answer framework only in Stack Overflow,” noting that results may not generalize to other CQA platforms (Section 6 Conclusion, p. 728); They acknowledge that “over 50% of the variability in questions’ answerability remained unexplained,” indicating limitations in explanatory power of the proposed framework (Section 6 Conclusion, p. 728); The study “dichotomized questions as either answered or unanswered, ignoring whether they were marked as accepted,” which limits the granularity of the analysis (Section 6 Conclusion, p. 728); The authors further note that “the cross-sectional nature of the dataset prevents any inference of causality,” restricting causal interpretations between question features and answerability (Section 6 Conclusion, p. 728)];
Future Work [The authors state that “future research could validate the framework by drawing data from multiple platforms,” including adapting metadata measures for sites such as Yahoo! Answers (Section 6 Conclusion, p. 728); They propose that “future studies might investigate nuances among accepted, answered and unanswered questions to yield richer findings” (Section 6 Conclusion, p. 728); They suggest that “future research could rely on experimental designs to examine causality” between metadata/content features and answering intentions, and to study how conspicuous versus inconspicuous features shape knowledge-sharing behavior (Section 6 Conclusion, p. 728)];"
S25,25,TagCombine: Recommending Tags to Contents in Software Information Sites,2015,"Limitations [N/A];
Future Work [The authors explicitly state that “we conclude this paper and mention future work,” and indicate plans to further improve tag recommendation by extending and refining the proposed approach beyond the current evaluation on four software information sites (Section 7 Conclusion and Future Work, p. 1034–1035)];"
S26,26,Detecting high-quality posts in community question answering sites,2015,"Limitations [N/A];
Future Work [“Future work includes investigating the impact of the question/answer content on such correlation structure as well as its dynamics,” referring to extending the current approach—which deliberately bypasses content-based features—to study how textual content influences the observed voting correlation over time (Section 7 Conclusions, p. 81)];"
S27,27,Building a parsimonious model for identifying best answers using interaction history in community Q&A,2015,"Limitations [“One of the largest limitations of this study was a lack of additional metadata and other features used in previous models,” noting that the model intentionally used a manageable number of features due to the exploratory nature of the study (Section Discussion – Limitations, p. 9); “Another limitation is selection of Best Answer as a metric for answer quality given the small proportion of answers selected as Best Answers within the Yahoo! Answers database,” highlighting the limitations of Best Answer as an evaluative proxy and its connection to asker dissatisfaction (Section Discussion – Limitations, p. 9)];
Future Work [“Further study could be done to provide a comprehensive identification of community-based interactions within CQA and measure how they interact with textual-based features in order to derive more effective and efficient models,” suggesting expanding interaction features and studying their interplay with textual features (Section Discussion, p. 9); The authors also state that “one solution for future work can be to further experiment using human assessments,” such as MTurk-based evaluations, to validate answer quality beyond Best Answer labels (Section Discussion – Limitations, p. 9)];"
S28,28,Multi-Factor Duplicate Question Detection in Stack Overflow,2015,"Limitations [The authors explicitly discuss threats to validity: threats to internal validity due to possible unnoticed errors in experiments and implementation despite double checking; threats to external validity related to generalizability, as the study analyzes only 1,528 duplicate questions from over two million Stack Overflow questions; and threats to construct validity concerning the choice of evaluation metrics (recall-rate@5, @10, @20), although the authors argue these metrics are commonly used in prior studies (Section 5.4 Threats to Validity, p. 993)];
Future Work [The authors explicitly state that “in the future, we plan to reduce this threat further by analyzing even more duplicate questions from additional question and answer sites,” indicating plans to extend the study beyond Stack Overflow to improve generalizability (Section 5.4 Threats to Validity, p. 993); They also note that they “conclude this paper and mention future work,” referring to further improvements and applications of DupPredictor beyond the current setting (Section 7 Conclusion, p. 997)];"
S29,29,Synonym Suggestion for Tags on Stack Overflow,2015,"Limitations [The authors explicitly note that not all synonym-creation strategies are implemented, stating that “at the time of writing, we have implemented 8 out of the 9 strategies,” and that Abbreviation/Synonym is not yet automated, which limits coverage (Section VI Discussion, p. 100); They acknowledge lower accuracy for unseen/new tags, observing that TSST performs significantly better on approved Stack Overflow synonym-pairs than on newly selected Android-related tags, particularly for ranking the first suggestion (Section VI Discussion, p. 100); They further point out limitations in ranking quality, noting that similar suggestions (e.g., singular vs. plural forms) are not always ranked adjacently, indicating room for improvement in ranking strategy (Section VI Discussion, p. 100); In the Threats to Validity subsection, they explicitly mention threats to internal validity due to manual analysis of synonym-pairs and threats to external validity arising from focusing the online survey on Android-related tags and a relatively small number of participants (Section VI Discussion – Threats to Validity, p. 101)];

Future Work [“Future work is concerned with improving TSST to more accurately suggest and rank of tag synonyms, as well as to check if there exist any valid synonyms” (Section VIII Conclusion, p. 102); The authors explicitly state plans to implement the Abbreviation/Synonym strategy and to extend the Synonym-In-Word strategy to find words in words (Section VIII Conclusion, p. 102); They plan to consider transitivity of tags and the relation of source tags and target tags when suggesting synonyms (Section VIII Conclusion, p. 102); They propose improving ranking by combining strategies such as Metaphone and Similarity, and learning from existing approved synonyms to improve accuracy (Section VIII Conclusion, p. 102); They also state plans for evaluation on a larger set of Stack Overflow tags with more developers and applying TSST to other Stack Exchange Q&A sites (Section VIII Conclusion, p. 102)];"
S30,30,CSNIPPEX: Automated Synthesis of Compilable Code Snippets from Q&A Sites,2016,"Limitations [N/A];
Future Work [“Compilability is only a necessary but not a sufficient condition to obtain runnable code,” and “in future work, we plan to investigate how to synthesize executable context for the compilable code, e.g., addressing the initialization of variables, generation of files, creation of database connections,” including considering “a feedback-directed technique guided by runtime exceptions” (Section 9 Conclusion and Future Work, p. 126)];"
S31,31,Evaluating the Quality of Educational Answers in Community Question-Answering,2016,"Limitations [The authors explicitly state: “There are also limitations to our work. Our work can only detect high- and low-quality answers,” noting that the approach does not provide suggestions to improve answer quality, which would require deeper semantic understanding (Section 6 Discussion, p. 136–137); They further acknowledge that “our approach was based heavily on the community’s past interactions, which has limited applicability to a newly-formed community,” explicitly identifying limited applicability in new or cold-start communities (Section 6 Discussion, p. 137)];

Future Work [The authors explicitly state: “In future work, we plan to study struggling users in the community,” aiming to understand why many answers are deleted and whether causes include lack of knowledge, arrogant attitude, or anti-social behavior (Section 7 Conclusion, p. 137); They further suggest that “detecting and helping struggle users also increase the quality of the site,” implying future work on identifying latent features of struggling users and providing support mechanisms to improve overall answer quality (Section 7 Conclusion, p. 137)];"
S32,32,Improving the Quality of Code Snippets in Stack Overflow,2016,"Limitations [The authors explicitly note that “the code snippets recommended by ExRec are less concise,” acknowledging a trade-off between conciseness and completeness/understandability (Section 7 Conclusions and Future Work, p. 1495); The evaluation is based on “a user study with 10 programmers,” indicating a small sample size that may limit generalizability of the findings (Section 5 Evaluation, p. 1494–1495)];

Future Work [“In future, we plan to improve the performance of the search operation of the ExRec,” particularly to “provide users more appropriate Q&As from Stack Overflow with respect to the context of the programming task at hand” (Section 7 Conclusions and Future Work, p. 1495); The authors further state that they “intend to improve the quality of the code snippets we recommend to a programmer to post as an answer to a selected question in Stack Overflow” (Section 7 Conclusions and Future Work, p. 1495)];"
S33,33,Mining Duplicate Questions in Stack Overflow,2016,"Limitations [The authors explicitly discuss threats to validity: (i) the manual investigation of why duplicate questions are submitted was conducted on “a small number of questions,” because manual analysis is time consuming, which limits representativeness (Section 8 Threats to Validity, p. 410); (ii) the evaluation considers questions covering only six popular programming languages, which may limit generalizability to other languages or domains (Section 8 Threats to Validity, p. 410); (iii) DupPredictor was re-implemented due to unavailability of original data and code, and although care was taken, “we cannot guarantee that our replication … does not contain any error,” posing a threat to internal validity (Section 8 Threats to Validity, p. 410)];
Future Work [The authors explicitly state: “In the future, we plan to evaluate our technique with more questions covering various other programming languages,” indicating extension beyond the current six languages (Section 9 Conclusion, p. 410); They also state that “we are currently working on implementing the technique as a web service,” pointing to future deployment and practical integration (Section 9 Conclusion, p. 410)];"
S34,34,Predicting Questions' Scores on Stack Overflow,2016,"Limitations [The authors explicitly note that their study focuses only on “factors that are measurable based on the available dataset,” acknowledging that many other elements (e.g., users’ interests, whether a question discusses a common problem, or how well it is supported by facts, details, and examples) that may influence upvotes are not captured in their model (Section 5 Discussion, p. 6); They also state that some independent variables (views, favourites, answers, comments) “occur after the submission of the question” and change simultaneously with question scores, and thus “we cannot confirm if these variables are independent from the scores of questions,” indicating uncertainty about causal direction and independence of predictors (Section 5.1 Threats to Validity, p. 6); Additionally, they acknowledge potential limitations in sentiment analysis, as the removal of HTML tags might affect polarity and subjectivity computation, even though they observed only slight changes (Section 5.1 Threats to Validity, p. 6)];

Future Work [The authors explicitly state that “there is a big room for improving the prediction of questions quality,” and suggest that the topics of tags may help the prediction of questions (Section 6 Conclusion, p. 7); They propose performing analysis on the writing style of the author, including grammar and spelling, as additional predictive features (Section 6 Conclusion, p. 7); They further suggest isolating high-scored questions and learning common features among them using a rule-based classifier to improve prediction models (Section 6 Conclusion, p. 7)];"
S35,35,"Social Question Answering: Textual, User, and Network Features for Best Answer Prediction",2016,"Limitations [N/A];
Future Work [N/A];"
S36,36,Understanding Question Quality through Affective Aspect in Q&A Site,2016,"Limitations [The authors explicitly state that their study “could only extract the external features: Content Length, sentence or word count, and readability features,” and that they “cannot understand the meaning of the question content and make any recommendation of how to fix it,” highlighting a limitation in semantic understanding and actionable guidance (Section 5 Discussion, p. 15); They further note that unanswered questions are not always due to how a question is written, but sometimes because “the question itself is just ‘Too hard, too specific or too time consuming’,” which the current approach cannot address (Section 5 Discussion, p. 15); In the Threats to Validity subsection, they explicitly acknowledge external validity limitations, noting that only a sampled dataset of 38,232 questions was used due to computational constraints, and that the study was conducted only on Stack Overflow, which may limit generalizability to other Q&A communities such as Yahoo! Answers (Section 5.1 Threats to Validity, p. 15); They also state that although 31 features were used, “we may have overlooked some other features that may also improve the performance of our models,” such as question topics (Section 5.1 Threats to Validity, p. 15)];

Future Work [The authors explicitly state that “further studies are required” to be able to completely solve the problem of unanswered questions, especially to go beyond surface-level features and understand deeper causes (Section 5 Discussion, p. 15); They state that “in our future work, we would like to look for the useful features to improve our prediction model,” explicitly mentioning the exploration of additional features such as question topics (Section 5.1 Threats to Validity, p. 15); In the conclusion, they state that “in future, we could guide or recommend them on how to edit their question,” indicating future work toward providing guidance or recommendations to help users improve question quality (Section 6 Conclusion, p. 16)];"
S37,37,Embedded Emotion-based Classification of Stack Overflow Questions Towards the Question Quality Prediction,2016,"Limitations [The authors explicitly discuss several threats to validity: programming questions often contain items beyond natural language text (e.g., equations, emails, symbols, hyperlinks, and code segments), which “can pose as noise, and the reported results might be affected,” even though additional experiments suggest limited impact (Section V Threats to Validity, p. 6); The dataset is imbalanced (73% up-voted vs. 27% down-voted questions), and although a balanced dataset improves performance, the original imbalance means classifiers “do not perform equally for both types of questions” (Section V Threats to Validity, p. 6); The study assumes that positive-scored questions are high quality and negative-scored questions are low quality, relying on crowd-sourced votes as ground truth, and the authors explicitly state that they “cannot guarantee that all positive-scored questions contain high quality content” (Section V Threats to Validity, p. 6)];

Future Work [“In future, we plan to explore the scope of sentiment aspects in various classification, filtration and management of StackOverflow questions,” explicitly indicating extension of sentiment-based features beyond the current quality prediction task (Section VI Conclusion and Future Work, p. 7)];"
S38,38,It Takes Two to Tango: Deleted Stack Overflow Question Prediction with Text and Meta Features,2016,"Limitations [The authors explicitly discuss several threats to validity: programming questions often contain items beyond natural language text (e.g., equations, emails, symbols, hyperlinks, and code segments), which “can pose as noise, and the reported results might be affected,” even though additional experiments suggest limited impact (Section V Threats to Validity, p. 6); The dataset is imbalanced (73% up-voted vs. 27% down-voted questions), and although a balanced dataset improves performance, the original imbalance means classifiers “do not perform equally for both types of questions” (Section V Threats to Validity, p. 6); The study assumes that positive-scored questions are high quality and negative-scored questions are low quality, relying on crowd-sourced votes as ground truth, and the authors explicitly state that they “cannot guarantee that all positive-scored questions contain high quality content” (Section V Threats to Validity, p. 6)];

Future Work [“In the future, we plan to explore the scope of sentiment aspects in various classification, filtration, and management of StackOverflow questions,” explicitly indicating extension of sentiment-based features beyond the current quality prediction task (Section VI Conclusion and Future Work, p. 7)];"
S39,39,By the Community & For the Community: A Deep Learning Approach to Assist Collaborative Editing in Q&A Sites,2017,"Limitations [The authors explicitly note that the proposed model “considers only the local context of a sentence,” and that supporting more complex edits (e.g., adding information requiring surrounding context) would require “the broader context of the sentence (i.e., previous and subsequent sentences)” (Section 5.4.2 In which cases does our model recommend low-quality sentence edits?, p. 32:15); They further state that the RNN model “cannot encode long-distance editing patterns very well,” and that its performance “decays as the sentence length increases,” because the model may forget earlier information in long sentences (Section 5.4.2, p. 32:15); The authors also acknowledge that “different users may have different opinions regarding what should or should not be edited,” leading to revert-back edits and non-obvious editing patterns that “machine learning techniques cannot effectively encode” (Section 5.4.2, p. 32:15); Additionally, they note that predicting whether an edit is “significant enough” to be accepted is “out of scope of this work” (Section 6 Assisting Novice Post Editors in Post Editing, p. 32:16); Finally, they explicitly discuss that the study is based on Stack Overflow data, and although transferable, applicability to other communities depends on “availability of sufficient archival editing data” and differing content/editing practices (Section 8.2 Generalizability of Our Approach and Findings, p. 32:18–19)];

Future Work [The authors state that supporting edits requiring broader context will be addressed in the future by considering “previous and subsequent sentences” beyond sentence-level modeling (Section 5.4.2, p. 32:15); They explicitly plan to explore “assisting code formatting,” as suggested by trusted contributors (e.g., detecting poor indentation and code readability issues) (Section 7 Feedbacks of Trusted Post Editors, p. 32:17); They outline future work on “integrat[ing] our tool in Stack Overflow,” studying how it should be deployed, whether recommended edits will be accepted in practice, and how it may impact editors’ behavior and the edit-review process (Section 8.1 Impact on Social Process and Quality Control, p. 32:18; Section 9 Conclusion and Future Work, p. 32:19); They also state that “future comparative studies are required to confirm the extent to which the training data size affects our approach,” especially when applying it to other online communities (Section 8.2, p. 32:19); Finally, they suggest extending the approach to other platforms such as other Stack Exchange sites, Wikipedia, and Quora, with necessary adaptations to domain-specific editing characteristics (Section 8.2 and Section 9, p. 32:19)];"
S40,40,Detecting Duplicate Posts in Programming QA Communities via Latent Semantics and Association Rules,2017,"Limitations [The authors explicitly state that PCQADup fails in certain cases, including implicit expressions where key error terms are not explicitly mentioned, difficult paraphrases with little word overlap, and cross-language duplicates (e.g., PHP vs. jQuery), which the current approach does not handle (Section 6 Discussion and Conclusion, p. 1228); They also note that the effectiveness of topical similarity and association score features is limited on smaller datasets (e.g., CQADupStack), where there are too few duplicate posts to reliably learn topics and document embeddings (Section 4.2.5 Performance on CQADupStack, p. 1227)];

Future Work [The authors explicitly state: “We leave the development of techniques that tackle cross-language duplicate detection for future work,” referring to duplicate questions spanning different programming languages (Section 6 Discussion and Conclusion, p. 1228); They further state that “the performance of association score feature and topical similarity feature can be further improved if we mine association pairs for different programming languages separately and we learn topics from all the posts instead of only duplicate and equal number of non-duplicate questions,” identifying concrete extensions to feature learning and dataset construction (Section 6 Discussion and Conclusion, p. 1228)];"
