Study#,SL,Title,Year,Target Q&A Site,Quality Metric,Label Coding Manual
S11,11,From bad to good: an investigation of question quality and transformation,2013,Yahoo! Answers,"Qualitative Metrics (Not clear, too complex, asking multiple questions, lack of information); Textual Features (Number of complex words, Reading level, Amount of unique information, Number of questions, Number of misspelled words, Entropy, Number of characters / Number of words / Number of sentences) ","Readability and Linguistic Complexity [Number of complex words, Reading level, Number of misspelled words, Number of characters / Number of words / Number of sentences];
Content Accuracy and Informativeness [Amount of unique information];
Clarity, Relevance, and Supporting Resources [Not clear, too complex, lack of information, Entropy, Number of questions];"
S12,12,Discovering high quality answers in community question answering archives using a hierarchy of classifiers,2014,Yahoo! Answers,"The question classification layer: Lexical Features (Unigram, bigram, trigram); Syntax-driven Semantic Features (Focus Type, Focus Adjective, Main Verb, Question Word, Question Word Determiner); The quality prediction layer The: Similarity Features (Resemblance (Resemblance-n-g), Containment (Containment-n-g), Cosine distance (Cosine-n-g), Word Overlap (Overlap-n-g); Statistical Features (Raw length in question (Q-Raw-Length) in words, Raw length in answer (A-Raw-Length) in words, Number of nouns in question (Q-Nouns), Number of nouns in answer (A-Nouns), Number of verbs in question (Q-Verbs)Number of verbs in answer (A-Verbs), Number of sentences in answer (A-Sentences), Number of stop words (A-Stopw), Number of non-stop words (A-NonStopw) in answer); Answer Question Ratio; Density (Punctuations density in question (Q-Punct-Dens), Punctuations density in answer (A-Punct-Dens), Punctuations density in question–answer pair (Punct-Dens), Non-ASCII characters in question (Q-NonAscii-Dens), Non-ASCII characters in answer (A-NonAscii-Dens), Non-ASCII characters in question–answer pair (NonAscii-Dens)); Readability (Fog, Flesh, Flesch-Kincaid)); Monolingual word translation; Number of links/URL; Sentiment polarity","Readability and Linguistic Complexity [Unigram, bigram, trigram, Focus Adjective, Main Verb, Question Word, Question Word Determiner, Number of nouns in question (Q-Nouns), Number of nouns in answer (A-Nouns), Number of verbs in question (Q-Verbs), Number of verbs in answer (A-Verbs), Raw length in question (Q-Raw-Length) in words, Raw length in answer (A-Raw-Length) in words, Number of sentences in answer (A-Sentences), Number of stop words (A-Stopw), Number of non-stop words (A-NonStopw) in answer, Readability (Fog, Flesch, Flesch-Kincaid), Monolingual word translation];
Content Accuracy and Informativeness [];
Clarity, Relevance, and Supporting Resources [Resemblance (Resemblance-n-g), Containment (Containment-n-g), Cosine distance (Cosine-n-g), Word Overlap (Overlap-n-g), Focus Type, Answer Question Ratio, Number of links/URL];
Affect and Sentiment Analysis [Sentiment polarity];"
S13,13,"""A Bit of Code"": How the Stack Overflow Community Creates Quality Postings",2014,Stack Overflow,text-code ratio; readability (Flesch-Kincaid Reading Ease); sentiment,"Readability and Linguistic Complexity [Readability (Flesch-Kincaid Reading Ease)];
Clarity, Relevance, and Supporting Resources [Text-code ratio];
Affect and Sentiment Analysis [Sentiment];"
S14,14,Understanding and Classifying the Quality of Technical Forum Questions,2014,Stack Overflow,"Stack Overflow (MSO) Metrics (Body Length, Emails Count, Lowercase Percentage, Spaces Count, Tags Count, Text Speak Count, Title Body Similarity, Title Length, Capital Title, Uppercase Percentage, URLs Count); Readability (MR) Metrics (Average Term Entropy, Automated Reading Index, Coleman Liau Index, Flesch Kincaid Grade Level, Flesch Reading Ease Score, Gunning Fox Index, LOC percentage, Metric Entropy, Sentences Count, SMOG Grade, Words Count); Popularity (MP) Metrics (Accepted by Originator Votes, Approved Edit Suggestion, Answer Badges Count, Badges-Tags Coverage, Bounty Start Votes, Bounty End Votes, Close Votes, Deletion Votes, Down Votes, Favorite Votes, Moderator Review Votes, Offensive Votes, Reopen Votes, Question Badges Count, Spam Votes, Total Badges, Undeletion Votes, Up Votes)","Presentation and Structural Quality [Spaces Count, Capital Title, Uppercase Percentage, Lowercase Percentage];
Readability and Linguistic Complexity [Average Term Entropy, Automated Reading Index, Coleman Liau Index, Flesch Kincaid Grade Level, Flesch Reading Ease Score, Gunning Fox Index, LOC percentage, Metric Entropy, Sentences Count, SMOG Grade, Words Count, Body Length, Title Length];
Clarity, Relevance, and Supporting Resources [Title Body Similarity, URLs Count, Emails Count, Text Speak Count];
Community Engagement and Activity [Accepted by Originator Votes, Bounty Start Votes, Bounty End Votes, Close Votes, Deletion Votes, Favorite Votes, Moderator Review Votes, Offensive Votes, Reopen Votes, Spam Votes, Undeletion Votes];
Reputation and Social Authority [Answer Badges Count, Question Badges Count, Badges-Tags Coverage, Total Badges, Approved Edit Suggestion];
Post Popularity and Metadata [Down Votes, Up Votes, Tags Count];"
S15,15,Chaff from the wheat : Characterization and modeling of deleted questions on Stack Overflow,2014,Stack Overflow,"Profile(Age of Account Previous Questions with -ve score, Previous Questions with +ve score, Previous Questions with 0 score, Previous Answers with -ve score, Previous Answers with +ve score, Previous Answers with 0 score, Number of Previous Questions, Number of Previous Answers, Number of Previous Badges, Questions to Age of Account Ratio, Answers to Age of Account Ratio); Community (Average Answer Score, Average Question View Counts, Average Number of Comments, Average Favorite Votes, Average Question Score, Average Number of Accepted Answers); Content (Number of URLs, Number of Previous Tags, Code Snippet Length, LIWC score of Personal Pronouns, LIWC score of Pronouns, LIWC score of Space words, LIWC score of Relativity words, LIWC score of Inclusive words, LIWC score of Cognitive Process words, LIWC score of Social words, LIWC score of 1st person singular pronouns); Syntactic (LIWC score of Function Words, LIWC score of Conjunctions, LIWC score of Prepositions, Number of characters in body, Number of alphabetical characters in body, Number of upper case characters in body, Number of lower case characters in body, Number of digit characters in body, Number of white case characters in body,
Number of special characters in body, Number of punctuation marks in body, Number of words in body, Number of short words in body, Number of unique words in body, Average body word length, Number of characters in title, Number of words in title, Average title word length)","Presentation and Structural Quality [Number of alphabetical characters in body, Number of upper case characters in body, Number of lower case characters in body, Number of digit characters in body, Number of white case characters in body, Number of special characters in body];
Readability and Linguistic Complexity [Number of punctuation marks in body, Number of words in body, Number of short words in body, Number of unique words in body, Average body word length, Number of characters in title, Number of words in title, Average title word length, LIWC score of Personal Pronouns, LIWC score of Pronouns, LIWC score of Space words, LIWC score of Relativity words, LIWC score of Inclusive words, LIWC score of Cognitive Process words, LIWC score of Function Words, LIWC score of Conjunctions, LIWC score of Prepositions];
Clarity, Relevance, and Supporting Resources [Code Snippet Length, Number of URLs];
Community Engagement and Activity [Average Favorite Votes];
Reputation and Social Authority [Age of Account, Previous Questions with -ve score, Previous Questions with +ve score, Previous Questions with 0 score, Previous Answers with -ve score, Previous Answers with +ve score, Previous Answers with 0 score, Number of Previous Questions, Number of Previous Answers, Number of Previous Badges, Questions to Age of Account Ratio, Answers to Age of Account Ratio, Average Number of Accepted Answers];
Post Popularity and Metadata [Average Question View Counts, Average Favorite Votes, Average Question Score, Code Snippet Length, Average Answer Score, Average Question View Counts, Average Number of Comments, Average Question Score];
Affect and Sentiment Analysis [LIWC score of Social words];
Tag Relevance and Specificity [Number of Previous Tags];"
S16,16,Questioning the Question -- Addressing the Answerability of Questions in Community Question-Answering,2014,Yahoo! Answers,"Boolean features (Content present, Subject starts with an interrogative word, Content starts with an interrogative word, Subject / Content has URL, Presence of taboo words); Counting-based features Number (Number of Misspelled Words, Number of Question Marks, Question Length / Number of Sentences /
Number of Words, Number of Complex Words); Derived features (Edit Distance Between Subject and Content, Cosine Similarity Between Subject and Content, Readability of Subject / Content, Entropy of Subject and Content)","Readability and Linguistic Complexity [Number of Misspelled Words, Number of Complex Words, Readability of Subject / Content, Content present, Subject starts with an interrogative word, Content starts with an interrogative word, Question Length / Number of Sentences / Number of Words, Number of Question Marks];
Content Accuracy and Informativeness [Entropy of Subject and Content];
Clarity, Relevance, and Supporting Resources [Subject / Content has URL, Cosine Similarity Between Subject and Content, Edit Distance Between Subject and Content];
Affect and Sentiment Analysis [Presence of taboo words];"
S17,17,An Insight into the Unresolved Questions at Stack Overflow,2015,Stack Overflow,"Lexical Analysis( Code Readability, Text Readability); Semantic Analysis (Topic Similarity, Topic Entropy); User Behaviour Analysis (Answer Rejection Ratio, Last Access Delay); Popularity Analysis (votes of question, reputation)","Readability and Linguistic Complexity [Code Readability, Text Readability];
Clarity, Relevance, and Supporting Resources [Topic Similarity, Topic Entropy];
Community Engagement and Activity [Answer Rejection Ratio];
Reputation and Social Authority [Reputation];
Post Popularity and Metadata [Votes of question];
Response Timing and Interaction [Last Access Delay];"
S18,18,Evaluating Answer Quality across Knowledge Domains: Using Textual and Non-Textual Features in Social Q&A,2015,"Stack Excchange (Mathematics, Ask Ubuntu, Photography, Arqade)","Length (Counts of words, sentences); Structure (Counts of paragraphs, images, external links, internal links (to other question/answers in the site)); Style (Counts of auxiliary verbs, “to-be” verb, pronoun, conjunction, interrogative pronoun, subordinating conjunction, preposition, nominalization, passive voice sentence); User (Counts of user points, merit badges, questions posted by a user, answers posted by a user, comments posted by a user, suggested edits made by a user); Review (Counts of revision, comments an answer received, answer age/day)","Presentation and Structural Quality [Counts of paragraphs];
Readability and Linguistic Complexity [Counts of words, Counts of sentences, Counts of auxiliary verbs, Counts of “to-be” verbs, Counts of pronouns, Counts of conjunctions, Counts of interrogative pronouns, Counts of subordinating conjunctions, Counts of prepositions, Counts of nominalization, Counts of passive voice sentences];
Content Accuracy and Informativeness [];
Clarity, Relevance, and Supporting Resources [Counts of images, Counts of external links, Counts of internal links (to other questions/answers in the site)];
Community Engagement and Activity [Counts of user points, Counts of merit badges, Counts of questions posted by a user, Counts of answers posted by a user, Counts of comments posted by a user, Counts of suggested edits made by a user, Counts of revisions, Counts of comments an answer received, Answer age/day];"
S19,19,Mining Successful Answers in Stack Overflow,2015,Stack Overflow,"Presentation Quality (Length (# characters), Uppercase Ratio, URL Count, Presence of Code Snippets); Affect (sentiment); Time; Reputation; ","Presentation and Structural Quality [Length (# characters), Uppercase Ratio];
Clarity, Relevance, and Supporting Resources [URL Count, Presence of Code Snippets];
Reputation and Social Authority [Reputation];
Response Timing and Interaction [Time];
Affect and Sentiment Analysis [Sentiment];"
S20,20,Automatic assessments of code explanations: Predicting answering times on stack overflow,2015,Stack Overflow,L-ROUGE; token similarity;,"Clarity, Relevance, and Supporting Resources [L-ROUGE, token similarity];"
S21,21,Quality Questions Need Quality Code: Classifying Code Fragments on Stack Overflow,2015,Stack Overflow,code-text ratio; readability metrics - main method length; String concats (max); Printlines (max); Indentation (avg); Spaces (avg); Branches; Indentation (max); Keywords (avg); String concats (avg);  Keywords (max); Lines (avg); Brackets per line (avg); Blank lines (avg); Parse calls (avg); Comparisons (avg); Methods; Invalid Keywords (avg); Loops; Getters; Setters; Numbers (avg);,"Readability and Linguistic Complexity [Readability metrics - main method length, String concats (max), Printlines (max), Indentation (avg), Spaces (avg), Indentation (max), Keywords (avg), String concats (avg), Keywords (max), Lines (avg), Brackets per line (avg), Blank lines (avg), Comparisons (avg), Numbers (avg)];
Content Accuracy and Informativeness [Methods, Loops, Getters, Setters, Invalid Keywords (avg)];
Clarity, Relevance, and Supporting Resources [Code-text ratio, Parse calls (avg)];"
S22,22,"Utilizing Content Moderators to Investigate Critical Factors for Assessing the Quality of Answers on Brainly, Social Learning Q&A Platform for Students: A Pilot Study",2015,Brainly social learning Q&A platform,informativeness; politeness; readability; relevance; truthfulness; originality; objectivity; helpfulness; expertise,"Readability and Linguistic Complexity [Readability];
Content Accuracy and Informativeness [Informativeness, Truthfulness, Originality, Objectivity, Expertise];
Clarity, Relevance, and Supporting Resources [Relevance];
Community Engagement and Activity [Helpfulness];
Affect and Sentiment Analysis [Politeness];"
S23,23,Predicting the quality of questions on Stackoverflow,2015,Stack Overflow,tags; length of the question title;  length of the question body; presence of a code snippet; user reputation; terms used to formulate the question;,"Readability and Linguistic Complexity [Length of the question title, Length of the question body, Terms used to formulate the question];
Clarity, Relevance, and Supporting Resources [Presence of a code snippet];
Reputation and Social Authority [User reputation];
Tag Relevance and Specificity [Tags];"
S24,24,Answers or no answers: Studying question answerability in Stack Overflow,2015,Stack Overflow,"Popularity (Reputation score, number of upvotes, number of downvotes); Participation (Membership duration in years, number of questions, number of answers); Asking time (Hour of day, day of week); Derived role (Number of answers per question); Derived popularity (Number of upvotes per downvote); Level of details (Title length in words, description length in words); Specificity (Number of tags, code snippets, interrogative words); Accuracy (Linguistic errors (reverse-coded)); Clarity (Completeness, complexity (reverse-coded)); Socio-emotional value (Politeness, subjectivity)","Readability and Linguistic Complexity [Linguistic errors (reverse-coded), Title length in words, Description length in words, Interrogative words];
Content Accuracy and Informativeness [Accuracy (Linguistic errors (reverse-coded)), Completeness, Subjectivity];
Clarity, Relevance, and Supporting Resources [Complexity (reverse-coded), Code snippets];
Community Engagement and Activity [Membership duration in years, Number of questions, Number of answers, Derived role (Number of answers per question)];
Reputation and Social Authority [Reputation score];
Post Popularity and Metadata [Number of upvotes, Number of downvotes, Number of upvotes per downvote, Number of tags,];
Response Timing and Interaction [Hour of Day, Day of week];
Affect and Sentiment Analysis [Politeness];
Tag Relevance and Specificity [Specificity (Number of tags)];"
S25,25,TagCombine: Recommending Tags to Contents in Software Information Sites,2015,Stack Overflow; Ask Ubuntu; Ask Different; Freecode,N/A,Tag Relevance and Specificity [tags];
