Study#,SL,Title,Year,Target Q&A Site,Methodology,Categorized Methodology
S21,21,Quality Questions Need Quality Code: Classifying Code Fragments on Stack Overflow,2015,Stack Overflow,"Qualitative analysis; Machine learning classifiers (e.g., Random Forest, Decision Tree, Logistic Regression); Code readability metrics","Qualitative Analysis [Qualitative analysis];
Machine Learning (ML) [Random Forest, Decision Tree, Logistic Regression, Machine learning classifiers];
Program and Code Analysis [Code readability metrics];"
S22,22,"Utilizing Content Moderators to Investigate Critical Factors for Assessing the Quality of Answers on Brainly, Social Learning Q&A Platform for Students: A Pilot Study",2015,Brainly social learning Q&A platform,User study; Statistical analysis; Content analysis; Likert scale; Open-discussion evaluation; Qualitative analysis,"Qualitative Analysis [User study, Content analysis, Open-discussion evaluation, Qualitative analysis];
Quantitative and Statistical Analysis [Statistical analysis, Likert scale];"
S23,23,Predicting the quality of questions on Stackoverflow,2015,Stack Overflow,"Linear regression (e.g., Ridge Regression); Term extraction; Semantic analysis; Tokenization; Stop-word removal.","Quantitative and Statistical Analysis [Linear regression (e.g., Ridge Regression)];
Text Analysis and Natural Language Processing [Term extraction, Semantic analysis, Tokenization, Stop-word removal];"
S24,24,Answers or no answers: Studying question answerability in Stack Overflow,2015,Stack Overflow,Qualitative analysis; Hierarchical Logistic regression,"Qualitative Analysis [Qualitative analysis];
Machine Learning (ML) [Hierarchical Logistic regression];"
S25,25,TagCombine: Recommending Tags to Contents in Software Information Sites,2015,Stack Overflow; Ask Ubuntu; Ask Different; Freecode,Multi-label ranking component; Similarity-based ranking component; Tag-term affinity scoring; TF-IDF transformation; Multi-label classification,"Machine Learning (ML) [Multi-label classification];
Text Analysis and Natural Language Processing [TF-IDF transformation, Tag-term affinity scoring];
Relevance, Ranking, and Evaluation [Multi-label ranking component, Similarity-based ranking component];"
S26,26,Detecting high-quality posts in community question answering sites,2015,Stack Overflow; Mathematics ,Co-prediction algorithms (CoPs); Logistic regression; Voting correlation analysis; Gradient descent optimization,"Quantitative and Statistical Analysis [Voting correlation analysis];
Machine Learning (ML) [Co-prediction algorithms (CoPs), Logistic regression, Gradient descent optimization];"
S27,27,Building a parsimonious model for identifying best answers using interaction history in community Q&A,2015,Yahoo! Answers,"Machine learning classifiers (e.g., Bayesian Network (BayesNet)); Statistical analysis","Quantitative and Statistical Analysis [Statistical analysis];
Machine Learning (ML) [Bayesian Network (BayesNet), Machine learning classifiers];"
S28,28,Multi-Factor Duplicate Question Detection in Stack Overflow,2015,Stack Overflow,Greedy method (weight optimization); Customized algorithm (Composer); Latent Dirichlet Allocation (LDA); Topic modeling; Cosine similarity,"Text Analysis and Natural Language Processing [Latent Dirichlet Allocation (LDA), Topic modeling];
Heuristic and Rule-Based Approaches [Greedy method (weight optimization), Customized algorithm (Composer)];
Relevance, Ranking, and Evaluation [Cosine similarity];"
S29,29,Synonym Suggestion for Tags on Stack Overflow,2015,Stack Overflow,Qualitative analysis; Data mining; User study; Manual tag analysis; Synonym creation strategies,"Qualitative Analysis [Qualitative analysis, User study, Manual tag analysis];
Text Analysis and Natural Language Processing [Synonym creation strategies];
Data Mining and Graph-Based Models [Data mining];"
S30,30,CSNIPPEX: Automated Synthesis of Compilable Code Snippets from Q&A Sites,2016,StackOverflow,C-Units inference; Dependencies resolver; Code completer; Feedback-directed compilation; Clustering hypothesis; Dependency resolution; Quick fix suggestions; Statistical analysis,"Quantitative and Statistical Analysis [Statistical analysis];
Heuristic and Rule-Based Approaches [Clustering hypothesis];
Program and Code Analysis [C-Units inference, Dependencies resolver, Code completer, Feedback-directed compilation, Dependency resolution, Quick fix suggestions];"
S31,31,Evaluating the Quality of Educational Answers in Community Question-Answering,2016,Brainly,"Machine learning classifiers (e.g., Decision Trees, Random Forest)","Machine Learning (ML) [Decision Trees, Random Forest, Machine learning classifiers];"
S32,32,Improving the Quality of Code Snippets in Stack Overflow,2016,Stack Overflow ,Qualitative analysis; Feedback-driven code improvement; Program slicing; Clone detection,"Qualitative Analysis [Qualitative analysis];
Program and Code Analysis [Feedback-driven code improvement, Program slicing, Clone detection];"
S33,33,Mining Duplicate Questions in Stack Overflow,2016,Stack Overflow,"Qualitative analysis; Machine learning classifiers (e.g., Logistic Regression); BM25 scoring function; Term overlap analysis; Cosine similarity; Named Entity Recognition (NER).","Qualitative Analysis [Qualitative analysis];
Quantitative and Statistical Analysis [Term overlap analysis];
Machine Learning (ML) [Logistic Regression, Machine learning classifiers];
Text Analysis and Natural Language Processing [Named Entity Recognition (NER)];
Relevance, Ranking, and Evaluation [BM25 scoring function, Cosine similarity];"
S34,34,Predicting Questions' Scores on Stack Overflow,2016,Stack Overflow,Multiple linear regression; Sentiment analysis; Nonparametric statistical tests,"Quantitative and Statistical Analysis [Multiple linear regression, Nonparametric statistical tests];
Text Analysis and Natural Language Processing [Sentiment analysis];"
S35,35,"Social Question Answering: Textual, User, and Network Features for Best Answer Prediction",2016,Yahoo! Answers,"Machine learning classifiers (e.g., Random Forest, Logistic Regression, ListNet, RankSVM); Learning to rank model; Topic clustering","Machine Learning (ML) [Random Forest, Logistic Regression, ListNet, RankSVM, Machine learning classifiers, Learning to rank model];
Text Analysis and Natural Language Processing [Topic clustering];"
S36,36,Understanding Question Quality through Affective Aspect in Q&A Site,2016,Stack Overflow,"Machine learning classifiers (e.g., Random Forest); Sentiment analysis (e.g., SentiStrength); Politeness scoring; 10-fold cross-validation","Machine Learning (ML) [Random Forest, Machine learning classifiers];
Text Analysis and Natural Language Processing [Sentiment analysis (e.g., SentiStrength), Politeness scoring];
Miscellaneous [10-fold cross-validation];"
S37,37,Embedded Emotion-based Classification of Stack Overflow Questions Towards the Question Quality Prediction,2016,Stack Overflow,"Machine learning classifiers (e.g., Multilayer Perceptron, Support Vector Machine); Natural Language Processing (NLP); Sentiment analysis; Term frequency analysis (TF-IDF); 10-fold cross-validation","Machine Learning (ML) [Multilayer Perceptron, Support Vector Machine, Machine learning classifiers];
Text Analysis and Natural Language Processing [Natural Language Processing (NLP), Sentiment analysis, Term frequency analysis (TF-IDF)];
Miscellaneous [10-fold cross-validation];"
S38,38,It Takes Two to Tango: Deleted Stack Overflow Question Prediction with Text and Meta Features,2016,Stack Overflow,"Machine learning classifiers (e.g., Bayes Multinomial Algorithm, Complement Naive Bayes); Text mining; Cross-validation","Machine Learning (ML) [Bayes Multinomial Algorithm, Complement Naive Bayes, Machine learning classifiers];
Text Analysis and Natural Language Processing [Text mining];
Miscellaneous [Cross-validation];"
S39,39,By the Community & For the Community: A Deep Learning Approach to Assist Collaborative Editing in Q&A Sites,2017,Stack Overflow,"Deep learning (e.g., RNN encoder-decoder model); User study; Sentence alignment; Character-level modeling","Qualitative Analysis [User study];
Deep Learning (DL) / Transformer-Based Deep Learning [RNN encoder-decoder model, Character-level modeling];
Text Analysis and Natural Language Processing [Sentence alignment];"
S40,40,Detecting Duplicate Posts in Programming QA Communities via Latent Semantics and Association Rules,2017,Stack Overflow,"Machine learning classifiers (e.g., Decision Tree, K-Nearest Neighbours (K-NN), Support Vector Machines (SVM), Logistic Regression, Random Forest, Naive Bayes); TF-IDF vectorization; Word2Vec and Doc2Vec embeddings; Latent Dirichlet Allocation (LDA) topic modeling; Cosine similarity; Association rule mining","Machine Learning (ML) [Decision Tree, K-Nearest Neighbours (K-NN), Support Vector Machines (SVM), Logistic Regression, Random Forest, Naive Bayes, Machine learning classifiers];
Text Analysis and Natural Language Processing [TF-IDF vectorization, Word2Vec and Doc2Vec embeddings, Latent Dirichlet Allocation (LDA) topic modeling];
Data Mining and Graph-Based Models [Association rule mining];
Relevance, Ranking, and Evaluation [Cosine similarity];"
S41,41,Discerning the Quality of Questions in Educational Q&A using Textual Features,2017,Brainly,"Qualitative assessment; Machine learning classifiers (e.g., Support Vector Machine (SVM), Random Forests (RF), Simple Logistic Regression); Human rating (e.g., Likert scale); Cross-validation","Qualitative Analysis [Qualitative assessment, Human rating (e.g., Likert scale)];
Machine Learning (ML) [Support Vector Machine (SVM), Random Forests (RF), Simple Logistic Regression, Machine learning classifiers];
Miscellaneous [Cross-validation];"
S42,42,TAGme: A Topical Folksonomy Based Collaborative Filtering for Tag Recommendation in Community Sites,2017,Stack Overflow,Topical folksonomy; Topic modeling; Collaborative filtering; TF-IDF; Latent Dirichlet Allocation (LDA); Tag-LDA; Relational Topic Modeling (RTM),"Machine Learning (ML) [Collaborative filtering];
Text Analysis and Natural Language Processing [Topical folksonomy, Topic modeling, TF-IDF, Latent Dirichlet Allocation (LDA), Tag-LDA, Relational Topic Modeling (RTM)];"
S43,43,Identifying Textual Features of High-Quality Questions: An Empirical Study on Stack Overflow,2017,Stack Overflow,"Data mining (e.g., Boruta algorithm); Variable clustering; Redundancy analysis; Sentiment analysis; Readability metrics; Feature ranking","Quantitative and Statistical Analysis [Variable clustering, Redundancy analysis, Readability metrics];
Text Analysis and Natural Language Processing [Sentiment analysis];
Data Mining and Graph-Based Models [Data mining (e.g., Boruta algorithm), Feature ranking];"
S44,44,Scalable tag recommendation for software information sites,2017,Stack Overflow;  Ask Ubuntu; Ask Different;  Freecode,Multi-classification algorithm; Semantic similarity analysis; Tag ranking; Tag filtering; Tag normalization,"Machine Learning (ML) [Multi-classification algorithm];
Text Analysis and Natural Language Processing [Semantic similarity analysis, Tag normalization];
Heuristic and Rule-Based Approaches [Tag filtering];
Relevance, Ranking, and Evaluation [Tag ranking];"
S45,45,Towards Question Improvement on Knowledge Sharing Platforms: A Stack Overflow Case Study,2017,Stack Overflow,"Machine learning (SVM, Logistic Regression, kNN, Decision Tree); Predictive modeling; Feature engineering (textual, formatting, orthographic)","Machine Learning (ML) [SVM, Logistic Regression, kNN, Decision Tree, Predictive modeling];
Text Analysis and Natural Language Processing [Feature engineering (textual, formatting, orthographic)];"
S46,46,"Question's advisor a wizard interface to teach novice programmers how to post ""better"" questions in stack overflow",2017,Stack Overflow,User study; Natural language processing (NLP); Usability testing,"Qualitative Analysis [User study, Usability testing];
Text Analysis and Natural Language Processing [Natural language processing (NLP)];"
S47,47,On early detection of high voted Q&A on Stack Overflow,2017,Stack Overflow,"Machine Learning (Logistic Regression, Relational Classifier); Joint Prediction Models","Machine Learning (ML) [Logistic Regression, Relational Classifier, Joint Prediction Models];"
S48,48,The best answer prediction by exploiting heterogeneous data on software development Q&A forum,2017,Stack Overflow,"Machine Learning (Multi-View Learning, BoostStack); User Background Knowledge Analysis","Qualitative Analysis [User Background Knowledge Analysis];
Machine Learning (ML) [Multi-View Learning, BoostStack];"
S49,49,Language Use Matters: Analysis of the Linguistic Structure of Question Texts Can Characterize Answerability in Quora,2017,Quora,"Linguistic Inquiry and Word Count (LIWC); Machine Learning (SVM Classifier, Logistic Regression, Random Forest); POS Tag Diversity; LDA Topic Modeling; ROUGE-LCS Recall; Psycholinguistic Analysis","Qualitative Analysis [Psycholinguistic Analysis];
Quantitative and Statistical Analysis [POS Tag Diversity];
Machine Learning (ML) [SVM Classifier, Logistic Regression, Random Forest];
Text Analysis and Natural Language Processing [Linguistic Inquiry and Word Count (LIWC), LDA Topic Modeling, ROUGE-LCS Recall];"
S50,50,Understanding Stack Overflow Code Fragments,2017,Stack Overflow,User Study; Stratified Sampling; Open-Ended Questions; Qualitative Coding; Quantitative Analysis (Self-Explanatory Rating),"Qualitative Analysis [User Study, Open-Ended Questions, Qualitative Coding];
Quantitative and Statistical Analysis [Stratified Sampling, Quantitative Analysis (Self-Explanatory Rating)];"
S51,51,Are Code Examples on an Online Q&A Forum Reliable? A Study of API Misuse on Stack Overflow,2018,Stack Overflow,Data Mining; Pattern Recognition; Qualitative Analysis; API Usage Mining; Program Slicing; Subsequence Mining; Guard Condition Mining; Manual Inspection,"Qualitative Analysis [Qualitative Analysis, Manual Inspection];
Data Mining and Graph-Based Models [Data Mining, Pattern Recognition, API Usage Mining, Subsequence Mining, Guard Condition Mining];
Program and Code Analysis [Program Slicing];"
S52,52,Data-Driven Proactive Policy Assurance of Post Quality in Community Q&A Sites,2018,Stack Overflow,Deep Learning (Convolutional Neural Network); Empirical Study of Edits; Text Classification; Collaborative Editing Analysis,"Qualitative Analysis [Empirical Study of Edits, Collaborative Editing Analysis];
Deep Learning (DL) / Transformer-Based Deep Learning [Convolutional Neural Network];
Text Analysis and Natural Language Processing [Text Classification];"
S53,53,Duplicate Detection in Programming Question Answering Communities,2018,Stack Overflow; Quora,"Machine Learning (KNN, Linear SVM, RBF SVM, Naïve Bayes, Logistic Regression, Decision Tree, Random Forest, AdaBoost, Multi-Layer Perceptron); Deep Learning; Data Mining; Vector Similarity (doc2vec); Relevance Features (BM25); Association Features; Language Models (LMJM, LMDIR); Topic Modeling (LDA)","Machine Learning (ML) [KNN, Linear SVM, RBF SVM, Naïve Bayes, Logistic Regression, Decision Tree, Random Forest, AdaBoost, Multi-Layer Perceptron];
Deep Learning (DL) / Transformer-Based Deep Learning [Deep Learning];
Text Analysis and Natural Language Processing [Vector Similarity (doc2vec), Language Models (LMJM, LMDIR), Topic Modeling (LDA)];
Heuristic and Rule-Based Approaches [];
Data Mining and Graph-Based Models [Data Mining, Association Features];
Relevance, Ranking, and Evaluation [Relevance Features (BM25)];"
S54,54,Two Perspectives on Software Documentation Quality in Stack Overflow,2018,Stack Overflow,Machine Learning (Naïve Bayes); Manual Validation; Text Readability Analysis,"Qualitative Analysis [Manual Validation];
Machine Learning (ML) [Naïve Bayes];
Text Analysis and Natural Language Processing [Text Readability Analysis];"
S55,55,"Determinants of quality, latency, and amount of Stack Overflow answers about recent Android APIs",2018,Stack Overflow;,Logistic Regression; Manual Case Studies; Data Filtering; Bounty Analysis,"Qualitative Analysis [Manual Case Studies];
Machine Learning (ML) [Logistic Regression];
Heuristic and Rule-Based Approaches [Data Filtering];
Miscellaneous [Bounty Analysis];"
S56,56,ICSD: An Automatic System for Insecure Code Snippet Detection in Stack Overflow over Heterogeneous Information Network,2018,Stack Overflow,Machine Learning (Multi-View Fusion Classifier); Qualitative Analysis (Manual Labeling); Heterogeneous Information Network (HIN); meta-path guided random walk; Network Embedding (Snippet2Vec),"Qualitative Analysis [Manual Labeling];
Machine Learning (ML) [Multi-View Fusion Classifier];
Text Analysis and Natural Language Processing[Network Embedding (Snippet2Vec)];
Data Mining and Graph-Based Models [Heterogeneous Information Network (HIN), meta-path guided random walk];"
S57,57,"EnTagRec ++: An enhanced tag recommendation system for software information sites
",2018,Stack Overflow; Ask Ubuntu; Ask Different; Super User; Freecode,Bayesian Inference; Frequentist Inference; Grid Search,"Quantitative and Statistical Analysis [Bayesian Inference, Frequentist Inference];
Machine Learning (ML) [Grid Search];"
S58,58,Exploiting User Activities for Answer Ranking in Q&A Forums,2018,Stack Overflow,Ranking Algorithm (PageRank); Learning-to-Rank (L2R) Approach; SVMRank; HITS Algorithm,"Relevance, Ranking, and Evaluation [Learning-to-Rank (L2R) Approach, Ranking Algorithm (PageRank), HITS Algorithm, SVMRank];"
S59,59,Guiding supervised topic modeling for content based tag recommendation,2018,Stack Overflow; Mathematics ,Topic Modeling; Word2Vec Model; Latent Dirichlet Allocation (LDA); Supervised Topic Modeling; Tag-Content Relevance; Generative Model,"Machine Learning (ML) [Generative Model, Supervised Topic Modeling];
Text Analysis and Natural Language Processing [Topic Modeling, Word2Vec Model, Latent Dirichlet Allocation (LDA)];
Relevance, Ranking, and Evaluation [Tag-Content Relevance];"
S60,60,How to ask for technical help? Evidence-based guidelines for writing questions on Stack Overflow,2018,Stack Overflow,Logistic Regression Analysis; Qualitative Analysis; User Survey; Sentiment Analysis; Logistic Regression; Qualitative Content Analysis; Clustering-Based Discretization,"Qualitative Analysis [Qualitative Analysis, User Survey, Qualitative Content Analysis];
Quantitative and Statistical Analysis [Logistic Regression Analysis];
Machine Learning (ML) [Logistic Regression, Clustering-Based Discretization];
Text Analysis and Natural Language Processing [Sentiment Analysis];"
S61,61,Finding and Ranking High-Quality Answers in Community Question Answering Sites,2018,Stack Exchange,"Machine Learning (Naive Bayes Classifier, Random Forest Classifier, Gradient Boosting Classifier); Random Under-Sampling; Feature Importance Ranking","Quantitative and Statistical Analysis [Random Under-Sampling];
Machine Learning (ML) [Naive Bayes Classifier, Random Forest Classifier, Gradient Boosting Classifier];
Relevance, Ranking, and Evaluation [Feature Importance Ranking];"
S62,62,FastTagRec: fast tag recommendation for software information sites,2018,Stack Overflow; Askubuntu; Serverfault; Unix; Codereview; Freecode; Database Administrator; Wordpress; AskDifferent; Software Engineering,Qualitative Analysis; Machine Learning Classifier (Neural Network); Bag of Words; N-Gram Features; Huffman Coding; Softmax Function,"Qualitative Analysis [Qualitative Analysis];
Deep Learning (DL) / Transformer-Based Deep Learning [Neural Network, Softmax Function];
Text Analysis and Natural Language Processing [Bag of Words, N-Gram Features, Huffman Coding];"
S63,63,AnswerBot: An Answer Summary Generation Tool Based on Stack Overflow,2019,Stack Overflow,Data Mining; User Study; Bag-of-Words; Word2Vec Embeddings; Inverse Document Frequency (IDF); Maximal Marginal Relevance (MMR); Sentence Pattern Recognition; User-Oriented Feature Extraction,"Qualitative Analysis [User Study];
Text Analysis and Natural Language Processing [Bag-of-Words, Word2Vec Embeddings, Inverse Document Frequency (IDF), Maximal Marginal Relevance (MMR), Sentence Pattern Recognition, User-Oriented Feature Extraction];
Data Mining and Graph-Based Models [Data Mining];"
S64,64,Features That Predict the Acceptability of Java and JavaScript Answers on Stack Overflow,2019,Stack Overflow,"Machine Learning (Random Forest, Neural Network); Data Sampling (SMOTE, ADASYN); Information Gain; Text Preprocessing; Tokenization","Quantitative and Statistical Analysis[Data Sampling (SMOTE, ADASYN)];
Quantitative and Statistical Analysis [Information Gain];
Machine Learning (ML) [Random Forest, Neural Network];
Text Analysis and Natural Language Processing [Text Preprocessing, Tokenization];"
S65,65,How Reliable is the Crowdsourced Knowledge of Security Implementation?,2019,Stack Overflow,Qualitative Analysis; Statistical Analysis; Clone Detection; Community Feedback Analysis,"Qualitative Analysis [Qualitative Analysis, Community Feedback Analysis];
Quantitative and Statistical Analysis [Statistical Analysis];
Program and Code Analysis [Clone Detection];"
S66,66,Integrating Multi-Level Tag Recommendation with External Knowledge Bases for Automatic Question Answering,2019,Stack Overflow,Data Mining; Clustering; Supervised Recommendation System; Qualitative Analysis; Multi-Level Tag Recommendation; Post-Tag Co-Clustering; LDA for Dimensionality Reduction; Knowledge Retrieval from External KBs; Tag Ranking; Collaborative Filtering,"Qualitative Analysis [Qualitative Analysis];
Machine Learning (ML) [Supervised Recommendation System, Collaborative Filtering];
Text Analysis and Natural Language Processing [LDA for Dimensionality Reduction];
Data Mining and Graph-Based Models [ Knowledge Retrieval from External KBs, Data Mining, Clustering, Multi-Level Tag Recommendation, Post-Tag Co-Clustering];
Relevance, Ranking, and Evaluation [Tag Ranking];"
S67,67,SOTagRec: A Combined Tag Recommendation Approach for Stack Overflow,2019,Stack Overflow,Convolutional Neural Network (CNN); Collaborative Filtering (CF); Word Embedding; TF-IDF; Combined Model; Cross-Validation,"Machine Learning (ML) [Collaborative Filtering (CF), Combined Model];
Deep Learning (DL) / Transformer-Based Deep Learning [Convolutional Neural Network (CNN)];
Text Analysis and Natural Language Processing [Word Embedding, TF-IDF];
Miscellaneous [Cross-Validation];"
S68,68,Towards an Accurate Prediction of the Question Quality on Stack Overflow using a Deep-Learning-Based NLP Approach,2019,Stack Overflow,"Deep Learning; Natural Language Processing (NLP); Doc2Vec Representation; Neural Networks (GRU, Dense Layers); Tokenization","Deep Learning (DL) / Transformer-Based Deep Learning [Neural Networks (GRU, Dense Layers), Deep Learning];
Text Analysis and Natural Language Processing [Natural Language Processing (NLP), Tokenization, Doc2Vec Representation];"
