Study#,SL,Title,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,EvaluationMetrics,Categorized_Methodology_Details,Year,Target Content,TargetContentNumeric,#OfMethods
S11,11,From bad to good: an investigation of question quality and transformation,0,0,1,1,0,0,1,0,0,0,0,cohen's kappa; mean; standard deviation; standard error mean; t-test;,"Qualitative Analysis
[Uses human expert assessments by trained reference librarians to label questions as “Bad,” revise them to “Good,” and evaluate quality based on a grounded typology of question failure.]

Quantitative and Statistical Analysis
[Applies paired statistical tests and feature comparisons to identify significant differences in textual features before and after revision and to analyze how feature relationships change through transformation.]

Data Mining and Graph-Based Models
[Employs data mining techniques to extract and analyze textual features from original and revised questions for comparative analysis.]",2013,question,TC1,3
S12,12,Discovering high quality answers in community question answering archives using a hierarchy of classifiers,1,1,1,0,0,1,0,0,0,0,1,accuracy; chi-squared statistic; cohen's kappa;,"Qualitative Analysis
[Uses manual annotation of question–answer pairs to label answer quality (good vs. bad) and question types, with high inter-annotator agreement.]

Machine Learning (ML)
[Applies supervised logistic regression and other classifiers within a hierarchical framework, where question-type classifiers guide the selection and aggregation of answer-quality classifiers.]

Text Analysis and Natural Language Processing
[Performs question-type classification and feature extraction using lexical, syntactic, and semantic NLP techniques, including n-grams, parsing-based features, and translation-based similarity.]

Relevance, Ranking, and Evaluation
[Conducts feature ranking and similarity analysis (e.g., cosine similarity) and evaluates models using accuracy-based comparisons across question types.]

Miscellaneous
[Employs k-fold cross-validation on natural and balanced datasets to assess robustness and generalizability.]",2014,answer,TC2,5
S13,13,"""A Bit of Code"": How the Stack Overflow Community Creates Quality Postings",0,1,0,1,0,0,0,0,0,0,0,answer score;,"Quantitative and Statistical Analysis
[Performs large-scale quantitative analysis over Stack Overflow data dumps, including distribution analysis and visualization of code–text ratios, readability scores, sentiment scores, and their relationships with post scores, favorites, and accepted answers.]

Text Analysis and Natural Language Processing
[Applies automated text processing to strip code and markup, compute readability metrics, and evaluate sentiment polarity on the remaining natural-language content.]",2014,answer; question,TC1&2,2
S14,14,Understanding and Classifying the Quality of Technical Forum Questions,1,0,0,0,0,0,0,0,0,0,1,auc/roc/auc-roc; fitness function; precision;,"Machine Learning (ML)
[Applies supervised learning models, including decision trees and other classifiers, with genetic algorithms used for feature selection and optimization.]

Miscellaneous
[Uses k-fold cross-validation to evaluate classification robustness and generalizability.]",2014,question,TC1,2
S15,15,Chaff from the wheat : Characterization and modeling of deleted questions on Stack Overflow,1,0,0,1,0,0,0,0,0,0,1,accuracy; auc/roc/auc-roc; f1 score;,"Quantitative and Statistical Analysis
[Conducts longitudinal and temporal trend analyses over multi-year Stack Overflow data snapshots to characterize deletion dynamics and moderation behavior.]

Machine Learning (ML)
[Builds supervised predictive models using ensemble-based classifiers (AdaBoost with decision trees) and other machine-learning techniques to predict question deletion at creation time.]

Miscellaneous
[Applies balanced sampling and k-fold cross-validation to evaluate prediction robustness and mitigate class imbalance.]",2014,question (deleted),TC1,3
S16,16,Questioning the Question -- Addressing the Answerability of Questions in Community Question-Answering,1,0,1,0,0,1,0,0,0,0,1,accuracy; auc/roc/auc-roc;,"Qualitative Analysis
[Uses human assessments collected via crowdsourcing (Mechanical Turk) to label questions as good or bad and to provide quality baselines for model training.]

Machine Learning (ML)
[Trains supervised classifiers, primarily Support Vector Machines, to predict question answerability based on extracted textual features.]

Relevance, Ranking, and Evaluation
[Applies cosine similarity measures to quantify subject–content alignment and support relevance-based feature analysis.]

Miscellaneous
[Evaluates model robustness using k-fold cross-validation on balanced subsets to mitigate class imbalance.]",2014,question,TC1,4
S17,17,An Insight into the Unresolved Questions at Stack Overflow,1,1,0,1,0,0,1,0,0,0,1,accuracy; precision; recall;,"Quantitative and Statistical Analysis
[Performs exploratory popularity and comparative analyses between resolved and unresolved questions to identify distinguishing behavioral and topical patterns.]

Machine Learning (ML)
[Builds supervised prediction models using J48 decision trees, logistic regression, and Naive Bayes classifiers to predict unresolved questions based on selected metrics.]

Text Analysis and Natural Language Processing
[Applies lexical analysis and topic modeling using MALLET (LDA) to extract topic similarity and entropy features from questions and answers.]

Data Mining and Graph-Based Models
[Analyzes historical user behavior and interaction patterns from Stack Overflow metadata to derive predictive behavioral features.]

Miscellaneous
[Evaluates model robustness using k-fold cross-validation across balanced datasets.]",2015,question,TC1,5
S18,18,Evaluating Answer Quality across Knowledge Domains: Using Textual and Non-Textual Features in Social Q&A,0,0,0,1,0,1,0,0,0,0,0,answer score;,"Quantitative and Statistical Analysis
[Applies exploratory factor analysis using maximum likelihood estimation and varimax rotation to identify latent feature groupings and compare their importance across knowledge domains.]

Relevance, Ranking, and Evaluation
[Conducts cross-domain comparisons to analyze how the contribution of textual and non-textual features to answer quality differs among science, technology, art, and recreation domains.]",2015,answer,TC2,2
S19,19,Mining Successful Answers in Stack Overflow,1,1,0,1,0,0,0,0,0,0,1,auc/roc/auc-roc; coefficient estimate; f1 score; odds ratio; precision; recall;,"Quantitative and Statistical Analysis
[Performs temporal and ablation analyses to quantify the contribution of timing, presentation, affect, and reputation to acceptance likelihood.]

Machine Learning (ML)
[Trains supervised classifiers, primarily logistic regression, to predict answer acceptance based on the combined feature set.]

Text Analysis and Natural Language Processing
[Applies sentiment analysis (e.g., lexicon-based scoring) to extract affective features from answer text and comments.]

Miscellaneous
[Implements experiments and evaluations using the Weka toolkit.]",2015,answer,TC2,4
S20,20,Automatic assessments of code explanations: Predicting answering times on stack overflow,0,1,0,1,0,0,0,0,0,0,0,precision; recall;,"Quantitative and Statistical Analysis
[Conducts large-scale quantitative and correlation analyses to examine the relationship between code–text explanatory alignment and time-to-answer across hundreds of thousands of posts.]

Text Analysis and Natural Language Processing
[Applies token similarity algorithms, L-ROUGE metrics, and term-based strategies, including grammar-based term extraction using ANTLR4, to quantify explanatory overlap between code snippets and textual descriptions.]",2015,question (code explanation),TC1,2
S21,21,Quality Questions Need Quality Code: Classifying Code Fragments on Stack Overflow,1,0,1,0,0,0,0,1,0,0,0,accuracy; pearson correlation;,"Qualitative Analysis
[Conducts manual inspection of code fragments to identify constructs indicative of low-quality questions and to derive domain-specific code quality metrics.]

Machine Learning (ML)
[Applies supervised classifiers, including Random Forests, Decision Trees, and Logistic Regression, to predict question quality using code-derived features.]

Program and Code Analysis
[Extracts and computes code readability and structural metrics from Java code fragments embedded in questions to quantify code quality.]",2015,question,TC1,3
S22,22,"Utilizing Content Moderators to Investigate Critical Factors for Assessing the Quality of Answers on Brainly, Social Learning Q&A Platform for Students: A Pilot Study",0,0,1,1,0,0,0,0,0,0,0,likert scale; mean; standard deviation;,"Qualitative Analysis
[Conducts a pilot user study with active Brainly content moderators, employing content analysis and open-discussion evaluations to elicit subjective quality criteria.]

Quantitative and Statistical Analysis
[Applies descriptive statistical analysis over Likert-scale survey responses to identify and rank the relative importance of answer quality factors.]",2015,answer,TC2,2
S23,23,Predicting the quality of questions on Stackoverflow,0,1,0,1,0,0,0,0,0,0,0,f-statistic; mae; mse; r-square;,"Quantitative and Statistical Analysis
[Applies regularized linear models, specifically Ridge regression, to predict question quality while handling high-dimensional and correlated feature spaces.]

Text Analysis and Natural Language Processing
[Performs term extraction and semantic analysis using tokenization and stop-word removal to model lexical signals that distinguish high- and low-quality questions.]",2015,question,TC1,2
S24,24,Answers or no answers: Studying question answerability in Stack Overflow,1,0,1,0,0,0,0,0,0,0,0,accuracy; cohen's kappa; cox and snell incremental r^2; cox and snell r^2; gelkerke r^2; hosmer-lemeshow test; mean; na; nagelkerke incremental r^2; odds ratio; omnibus test ?2; standard deviation;,"Qualitative Analysis
[Conducts human content analysis with trained coders to rate linguistic errors, completeness, complexity, politeness, and subjectivity using Likert-scale judgments.]

Machine Learning (ML)
[Applies hierarchical logistic regression to model question answerability by incrementally incorporating control variables, metadata features, and content-based quality indicators.]",2015,question,TC1,2
S25,25,TagCombine: Recommending Tags to Contents in Software Information Sites,1,1,0,0,0,1,0,0,0,0,0,recall;,"Machine Learning (ML)
[Formulates tag recommendation as a multi-label classification problem and applies supervised multi-label learning algorithms to estimate tag relevance scores.]

Text Analysis and Natural Language Processing
[Transforms textual content using TF-IDF representations and computes tag–term affinity scores to model relationships between terms in content and associated tags.]

Relevance, Ranking, and Evaluation
[Combines multi-label ranking, similarity-based ranking, and tag–term–based ranking components to produce final tag rankings and evaluates effectiveness using recall-based metrics.]",2015,tags,TC3,3
S26,26,Detecting high-quality posts in community question answering sites,1,0,0,1,0,0,0,0,0,0,0,pearson correlation; precision;,"Quantitative and Statistical Analysis
[Analyzes correlations between question and answer voting outcomes to validate the assumption that high-quality questions tend to attract high-quality answers.]

Machine Learning (ML)
[Proposes co-prediction algorithms that jointly learn question and answer quality using logistic regression optimized via gradient descent to exploit voting-score dependencies.]",2015,answer; question,TC1&2,2
S27,27,Building a parsimonious model for identifying best answers using interaction history in community Q&A,1,0,0,1,0,0,0,0,0,0,0,accuracy; auc/roc/auc-roc; infogain; krippendorff's alpha; precision; recall;,"Quantitative and Statistical Analysis
[Performs statistical analysis and feature ranking (e.g., information gain and correlation analysis) to assess redundancy and predictive contribution of textual and interaction features.]

Machine Learning (ML)
[Applies Bayesian Network (BayesNet) classifiers and supervised learning to build a two-step prediction model that first uses textual features and then refines failed cases using interaction-history features.]",2015,answer,TC2,2
S28,28,Multi-Factor Duplicate Question Detection in Stack Overflow,0,1,0,0,0,1,0,0,1,0,0,recall;,"Text Analysis and Natural Language Processing
[Applies Latent Dirichlet Allocation (LDA)–based topic modeling to capture latent semantic structures in question titles and descriptions.]

Heuristic and Rule-Based Approaches
[Employs a greedy weight-optimization strategy and a customized composition algorithm to combine multiple similarity factors into a unified duplicate-detection score.]

Relevance, Ranking, and Evaluation
[Uses cosine similarity–based measures and ranking-oriented evaluation metrics (e.g., recall@k) to assess the effectiveness of duplicate question retrieval.]",2015,question (duplicate),TC1,3
S29,29,Synonym Suggestion for Tags on Stack Overflow,0,1,1,0,0,0,1,0,0,0,0,"top@k (k=1,3,5,10,15);","Qualitative Analysis
[Conducts manual analysis of approved Stack Overflow tag synonym pairs and a user study with developers to derive synonym-creation strategies and to validate the quality of suggested synonyms.]

Text Analysis and Natural Language Processing
[Implements multiple synonym-creation strategies based on lexical, phonetic, and structural properties of tags, including stemming, string similarity, acronym handling, phonetic encoding (Metaphone), and token-based matching.]

Data Mining and Graph-Based Models
[Applies data mining over large-scale Stack Overflow tag datasets to extract synonym patterns and to support automated synonym suggestion and ranking.]",2015,tags,TC3,3
S30,30,CSNIPPEX: Automated Synthesis of Compilable Code Snippets from Q&A Sites,0,0,0,1,0,0,0,1,1,0,0,compilability; precision;,"Quantitative and Statistical Analysis
[Performs large-scale statistical analysis over hundreds of thousands of Stack Overflow posts to quantify the prevalence of uncompilable snippets and to evaluate synthesis effectiveness and precision.]

Heuristic and Rule-Based Approaches
[Introduces the clustering hypothesis to guide greedy inference of import declarations and compilation-unit composition, prioritizing dependency solutions that form coherent package clusters.]

Program and Code Analysis
[Implements compilation-unit inference, external dependency resolution, feedback-directed compilation, code completion, and quick-fix application to iteratively transform raw snippets into compilable Java programs.]",2016,answer code snippet (usability),TC2,3
S31,31,Evaluating the Quality of Educational Answers in Community Question-Answering,1,0,0,0,0,0,0,0,0,0,0,accuracy; f1 score;,"Machine Learning (ML)
[Applies supervised classification models, including Decision Trees and Random Forests, to predict answer quality using combined personal, community, textual, and contextual feature sets.]",2016,answer,TC2,1
S32,32,Improving the Quality of Code Snippets in Stack Overflow,0,0,1,0,0,0,0,1,0,0,0,completeness; conciseness; correctness; understandability;,"Qualitative Analysis
[Conducts expert-driven qualitative analysis and a controlled user study to compare original Stack Overflow code snippets with improved snippets generated using the proposed approach.]

Program and Code Analysis
[Applies feedback-driven code improvement through iterative compilation, program slicing to recover missing context, and clone detection to identify and enhance relevant code fragments.]",2016,answer code snippet,TC2,2
S33,33,Mining Duplicate Questions in Stack Overflow,1,1,1,1,0,1,0,0,0,0,0,recall;,"Qualitative Analysis
[manual inspection of sampled duplicate and master question pairs to identify and categorize underlying reasons for question duplication]

Quantitative and Statistical Analysis
[statistical analysis of lexical overlap and similarity distributions across large-scale Stack Overflow question pairs]

Machine Learning (ML)
[supervised discriminative classification using logistic regression trained on similarity-based features to predict whether a pair of questions is duplicate]

Text Analysis and Natural Language Processing
[application of named entity recognition to extract entities and entity types from question titles and bodies for overlap-based similarity computation]

Relevance, Ranking, and Evaluation
[use of BM25 ranking to retrieve candidate duplicate questions followed by cosine similarity–based scoring and recall@k evaluation to assess duplicate detection performance]",2016,question (duplicate),TC1,5
S34,34,Predicting Questions' Scores on Stack Overflow,0,1,0,1,0,0,0,0,0,0,0,r-square; spearman's rank correlation;,"Quantitative and Statistical Analysis
[applies correlation analysis, nonparametric statistical tests, and multiple linear regression to identify factors significantly associated with question scores]

Text Analysis and Natural Language Processing
[uses sentiment analysis techniques to compute polarity and subjectivity values from cleaned question text]",2016,question (score),TC1,2
S35,35,"Social Question Answering: Textual, User, and Network Features for Best Answer Prediction",1,1,0,0,0,0,0,0,0,0,0,precision;,"Machine Learning (ML)
[employs supervised learning-to-rank models, including Random Forests, Logistic Regression, ListNet, and RankSVM, to rank candidate answers by likelihood of being selected as best]

Text Analysis and Natural Language Processing
[applies topic clustering and large-scale linguistic analysis to group questions and evaluate feature effectiveness across different question types]",2016,answer,TC2,2
S36,36,Understanding Question Quality through Affective Aspect in Q&A Site,1,1,0,0,0,0,0,0,0,0,1,f1 score; precision; recall; scott-knott (feature ranking);,"Machine Learning (ML)
[builds supervised classification models using Random Forests to predict whether a question will receive an accepted answer based on combined feature sets]

Text Analysis and Natural Language Processing
[applies sentiment analysis and politeness extraction techniques to derive affective features from question text]

Miscellaneous
[employs repeated 10-fold cross-validation and feature importance analysis with Scott–Knott clustering to evaluate model performance and rank influential features]",2016,question,TC1,3
S37,37,Embedded Emotion-based Classification of Stack Overflow Questions Towards the Question Quality Prediction,1,1,0,0,0,0,0,0,0,0,1,accuracy; f1 score; mann-whitney u-test results; precision; recall;,"Machine Learning (ML)
[trains supervised classifiers, including Multilayer Perceptron and Support Vector Machine, to classify questions as high or low quality based on sentiment and content features]

Text Analysis and Natural Language Processing
[applies NLP preprocessing, sentiment analysis, and term-frequency analysis to extract TF–IDF–weighted indicator terms and sentence-level sentiment features]

Miscellaneous
[evaluates model performance using 10-fold cross-validation across multiple experimental settings]",2016,question,TC1,3
S38,38,It Takes Two to Tango: Deleted Stack Overflow Question Prediction with Text and Meta Features,1,1,0,0,0,0,0,0,0,0,1,f1 score; precision; recall;,"Machine Learning (ML)
[employs probabilistic text classifiers and ensemble learners, including Multinomial Naive Bayes and Complement Naive Bayes, combined with a weighted composite classifier for deletion prediction]

Text Analysis and Natural Language Processing
[applies large-scale text mining techniques such as tokenization, stop-word removal, stemming, and term-feature extraction across titles, bodies, and tags]

Miscellaneous
[evaluates prediction performance using longitudinal cross-validation with automated threshold and weight tuning]",2016,question (deleted),TC1,3
S39,39,By the Community & For the Community: A Deep Learning Approach to Assist Collaborative Editing in Q&A Sites,0,1,1,0,1,0,0,0,0,0,0,gleu;,"Qualitative Analysis
[conducts a formative study and user survey with trusted contributors and a field study with a novice editor to understand edit motivations, categories, and perceived usefulness]

Deep Learning (DL) / Transformer-Based Deep Learning
[formulates sentence editing as a sequence-to-sequence learning problem and trains a character-level RNN encoder–decoder model on millions of original–edited sentence pairs]

Text Analysis and Natural Language Processing
[applies sentence alignment and normalization techniques to extract parallel sentence pairs and handle domain-specific terms such as APIs, URLs, and code identifiers]",2017,answer; question,TC1&2,3
S40,40,Detecting Duplicate Posts in Programming QA Communities via Latent Semantics and Association Rules,1,1,0,0,0,1,1,0,0,0,0,auc/roc/auc-roc; f1 score; recall;,"Machine Learning (ML)
[trains and compares multiple supervised classifiers to distinguish duplicate and non-duplicate question pairs using combined semantic and association-based features]

Text Analysis and Natural Language Processing
[extracts lexical and latent semantic representations through TF–IDF vectorization, neural word and document embeddings, and topic modeling tailored for short technical texts]

Data Mining and Graph-Based Models
[mines association rules and phrase pairs from large sets of manually labeled duplicate questions using alignment techniques adapted from machine translation]

Relevance, Ranking, and Evaluation
[computes cosine similarity between vector and topic representations and evaluates duplicate detection performance using recall-, F1-, and AUC-based ranking metrics]",2017,question (duplicate),TC1,4
S41,41,Discerning the Quality of Questions in Educational Q&A using Textual Features,1,0,1,0,0,0,0,0,0,0,1,accuracy; auc/roc/auc-roc; f1 score; precision; recall;,"Qualitative Analysis
[employs human assessment with Likert-scale ratings to label question quality across several qualitative dimensions]

Machine Learning (ML)
[trains supervised classifiers, including SVM, Random Forest, and logistic regression, to predict question quality labels from textual features]

Miscellaneous
[evaluates classification robustness using cross-validation to ensure generalizability of results]",2017,question,TC1,3
S42,42,TAGme: A Topical Folksonomy Based Collaborative Filtering for Tag Recommendation in Community Sites,1,1,0,0,0,0,0,0,0,0,0,cosine similarity; f1 score; precision; recall;,"Machine Learning (ML)
[applies item-based collaborative filtering over topic–tag and user–topic profile matrices to recommend tags aligned with users’ previous topical histories]

Text Analysis and Natural Language Processing
[employs topic modeling and topical folksonomy construction using TF–IDF, LDA-based variants (including Tag-LDA), and relational topic modeling to capture semantic structure of posts and tags]",2017,tags,TC3,2
S43,43,Identifying Textual Features of High-Quality Questions: An Empirical Study on Stack Overflow,0,1,0,1,0,0,1,0,0,0,0,rank feature (z-score);,"Quantitative and Statistical Analysis
[applies variable clustering and redundancy analysis to control multicollinearity, followed by readability and descriptive statistics to characterize textual differences between high- and low-quality questions]

Text Analysis and Natural Language Processing
[uses sentiment analysis to extract polarity and sentiment strength from question text]

Data Mining and Graph-Based Models
[employs all-relevant feature selection and feature importance ranking using data-mining techniques such as the Boruta algorithm]",2017,question,TC1,3
S44,44,Scalable tag recommendation for software information sites,1,1,0,0,0,1,0,0,1,0,0,f1 score; precision; recall;,"Machine Learning (ML)
[formulates tag recommendation as a multi-class classification problem and applies an efficient classification algorithm to assign multiple relevant tags to new software objects]

Text Analysis and Natural Language Processing
[computes semantic similarity between software objects using normalized textual representations and tag normalization to handle synonymous and noisy tags]

Heuristic and Rule-Based Approaches
[filters unreliable and low-frequency tags using predefined thresholds to reduce noise and stabilize the tag space]

Relevance, Ranking, and Evaluation
[ranks candidate tags based on similarity-weighted scores derived from semantically related software objects and evaluates recommendations using precision-, recall-, and F1-based ranking metrics]",2017,tags,TC3,4
S45,45,Towards Question Improvement on Knowledge Sharing Platforms: A Stack Overflow Case Study,1,1,0,0,0,0,0,0,0,0,0,accuracy; auc/roc/auc-roc; f1 score;,"Machine Learning (ML)
[trains predictive models using SVM, logistic regression, kNN, and decision trees to estimate whether edited closed questions will be successfully reopened]

Text Analysis and Natural Language Processing
[performs extensive feature engineering over textual, formatting, and orthographic attributes of question titles, bodies, and tags]",2017,question,TC1,2
S46,46,"Question's advisor a wizard interface to teach novice programmers how to post ""better"" questions in stack overflow",0,1,1,0,0,0,0,0,0,0,0,agreement level;,"Qualitative Analysis
[conducts user studies and usability testing with programmers to elicit desirable question characteristics and to assess the perceived usefulness of the wizard interface]

Text Analysis and Natural Language Processing
[applies NLP techniques to analyze draft questions, detect missing desirable characteristics, and generate actionable, real-time suggestions for question improvement]",2017,question,TC1,2
S47,47,On early detection of high voted Q&A on Stack Overflow,1,0,0,0,0,0,0,0,0,0,0,accuracy; auc/roc/auc-roc; f1 score; precision; recall;,"Machine Learning (ML)
[applies logistic regression as a baseline and extends it with relational classifiers and joint prediction models that simultaneously infer question quality, answer quality, and acceptance likelihood]",2017,answer; question,TC1&2,1
S48,48,The best answer prediction by exploiting heterogeneous data on software development Q&A forum,1,0,1,0,0,0,0,0,0,0,0,f1 score; precision; recall;,"Qualitative Analysis
[analyzes user background knowledge by modeling historical answering behavior, reputation, and expertise indicators as a complementary view to textual similarity]

Machine Learning (ML)
[formulates best-answer prediction as a multi-view learning problem and applies the BoostStack ensemble framework to combine predictors trained on text, code, and user knowledge views]",2017,answer,TC2,2
S49,49,Language Use Matters: Analysis of the Linguistic Structure of Question Texts Can Characterize Answerability in Quora,1,1,1,1,0,0,0,0,0,0,0,accuracy; auc/roc/auc-roc; f1 score; precision; recall;,"Qualitative Analysis
[conducts psycholinguistic analysis to interpret how linguistic and emotional cues correspond to perceived question answerability]

Quantitative and Statistical Analysis
[computes diversity and distribution statistics over part-of-speech tags to quantify structural variation in question texts]

Machine Learning (ML)
[trains supervised classifiers, including SVM, logistic regression, and random forest models, to predict whether a question will be answered within a given time window]

Text Analysis and Natural Language Processing
[extracts linguistic features using LIWC categories, topic distributions from LDA, and edit-distance–based similarity via ROUGE-LCS recall]",2017,question,TC1,4
S50,50,Understanding Stack Overflow Code Fragments,0,0,1,1,0,0,0,0,0,0,0,chi-squared test; cramer's v;,"Qualitative Analysis
[conducts a survey-based user study with open-ended questions and qualitative coding to identify recurring issues that hinder code fragment understandability]

Quantitative and Statistical Analysis
[uses stratified sampling and descriptive statistical analysis of self-explanatory ratings to quantify perceived code understandability across topics]",2017,answer code snippet,TC2,2
S51,51,Are Code Examples on an Online Q&A Forum Reliable? A Study of API Misuse on Stack Overflow,0,0,1,0,0,0,1,1,0,0,0,diversity score; likert scale; manual validation; relevance score; usefulness score;,"Qualitative Analysis
[performs manual inspection of sampled Stack Overflow posts to validate detected API misuses and assess their potential runtime impact, supported by inter-rater agreement]

Data Mining and Graph-Based Models
[mines frequent API usage patterns, call sequences, and guard conditions from hundreds of thousands of GitHub repositories using subsequence mining and predicate equivalence analysis]

Program and Code Analysis
[applies program slicing and structured call-sequence extraction to isolate API-relevant code fragments and improve the precision of usage pattern mining]",2018,answer code snippet (API Misuse),TC2,3
